NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
-339.65,-333.70,31216.13,31549.83,-339.65,0.00,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air","Scott Aviation, LLC  d/b/a  Silver Air",D,2023,4
-316.88,-77.60,14643.27,14720.87,-316.88,,2PQ,21 Air LLC,21 Air LLC,S,2023,4
-307.76,2647.49,187653.86,185006.36,1961.30,2269.06,NK,Spirit Air Lines,Spirit Air Lines,L,2023,2
-225.29,-273.22,11915.76,12188.98,-309.66,-84.37,MQ,Envoy Air,Envoy Air,L,2023,3
-187.54,158.18,8332.02,8173.84,-187.54,0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",I,2023,1
-97.87,-97.87,27388.93,27486.80,-97.87,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,4
-35.03,-33.74,80458.90,80492.64,-25.53,9.51,XP,TEM Enterprises dba  Avelo Airlines,TEM Enterprises dba  Avelo Airlines,D,2023,4
-31.19,-16.04,637.54,653.58,-30.86,0.33,OH,PSA Airlines Inc.,PSA Airlines Inc.,L,2023,4
-24.84,-289.77,62780.70,63070.48,-23.81,1.03,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,D,2023,2
-18.67,-12.34,689.15,701.49,-24.57,-5.90,OH,PSA Airlines Inc.,PSA Airlines Inc.,L,2023,2
-17.37,-12.95,833.13,846.08,-29.17,-11.80,OH,PSA Airlines Inc.,PSA Airlines Inc.,L,2023,3
-13.89,-113.52,60028.97,60142.49,-13.89,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,D,2023,3
-6.99,-2.02,431.57,433.60,-9.21,-2.22,OH,PSA Airlines Inc.,PSA Airlines Inc.,L,2023,1
-4.75,10.60,28749.65,28739.05,-4.75,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,D,2023,4
-2.81,28.33,304.51,276.18,18.93,21.75,YX,Republic Airline,Republic Airline,L,2023,4
-0.80,-27.50,6178.11,6205.61,-0.80,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,A,2023,1
-0.35,-243.98,56364.65,56608.63,-0.35,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,D,2023,1
0.00,0.00,0.00,0.00,0.00,,KLQ,Kalitta Charters II,Kalitta Charters II,I,2023,1
0.00,0.00,0.00,0.00,0.00,,KLQ,Kalitta Charters II,Kalitta Charters II,I,2023,3
0.00,0.00,0.00,0.00,0.00,,KLQ,Kalitta Charters II,Kalitta Charters II,I,2023,4
0.00,0.00,0.00,0.00,0.00,0.00,1TQ,Rhoades Aviation dba Transair,Rhoades Aviation dba Transair,I,2023,1
0.00,0.00,0.00,0.00,0.00,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",I,2023,1
0.00,0.00,0.00,0.00,0.00,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",I,2023,2
0.00,0.00,0.00,0.00,0.00,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",I,2023,3
0.00,0.00,0.00,0.00,0.00,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",I,2023,4
0.00,0.00,0.00,0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,L,2023,1
0.00,0.00,0.00,0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,L,2023,2
0.00,0.00,0.00,0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,L,2023,3
0.00,0.00,0.00,0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,L,2023,4
0.00,0.00,0.00,0.00,0.00,0.00,QX,Horizon Air,Horizon Air,L,2023,1
0.00,0.00,0.00,0.00,0.00,0.00,QX,Horizon Air,Horizon Air,L,2023,3
0.00,0.00,0.00,0.00,0.00,0.00,QX,Horizon Air,Horizon Air,L,2023,4
0.69,123.27,229573.83,229450.55,0.69,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,P,2023,4
1.14,-1060.16,245534.88,246595.04,1.14,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,P,2023,1
2.49,-11.17,3237.56,3248.74,2.54,0.05,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,A,2023,2
4.06,17.40,24970.61,24953.22,4.06,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,A,2023,4
6.15,-393.06,240512.37,240905.43,6.15,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,P,2023,3
7.74,1.76,3605.44,3603.68,7.74,0.00,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,A,2023,3
19.24,-482.88,67641.18,68124.07,25.10,5.86,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,L,2023,1
22.36,-1025.35,248273.61,249298.95,26.44,4.08,PO,Polar Air Cargo Airways,Polar Air Cargo Airways,P,2023,2
25.93,62.05,969.08,907.03,34.76,8.84,YX,Republic Airline,Republic Airline,L,2023,3
42.20,15.60,12991.91,12976.31,55.59,13.39,MQ,Envoy Air,Envoy Air,L,2023,1
57.64,103.31,1005.32,902.01,78.06,20.42,YX,Republic Airline,Republic Airline,L,2023,1
70.20,129.99,982.59,852.59,94.23,24.03,YX,Republic Airline,Republic Airline,L,2023,2
71.13,899.19,21579.35,20680.16,71.13,0.00,WI,Sky Lease Cargo,Sky Lease Cargo,I,2023,4
80.17,162.35,20172.22,20009.87,80.17,,KLQ,Kalitta Charters II,Kalitta Charters II,D,2023,1
89.85,156.70,14312.49,14155.78,118.22,28.37,MQ,Envoy Air,Envoy Air,L,2023,2
117.84,204.99,4151.69,3946.71,117.84,0.00,X9,Omni Air International LLC,Omni Air International LLC,D,2023,3
120.07,167.09,57405.15,57238.05,120.07,0.00,G7,GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,D,2023,2
156.09,225.07,193036.47,192811.41,993.95,837.86,PT,Piedmont Airlines,Piedmont Airlines,D,2023,3
202.61,394.16,6694.29,6300.12,202.61,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,I,2023,3
231.62,434.44,13493.02,13058.58,391.02,159.40,MQ,Envoy Air,Envoy Air,L,2023,4
252.31,524.81,13518.49,12993.68,252.31,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,D,2023,4
257.09,437.75,10486.58,10048.83,257.09,0.00,ABX,ABX Air Inc,ABX Air Inc,A,2023,1
259.91,360.22,12897.53,12537.32,259.91,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",I,2023,3
262.61,546.23,14070.27,13524.03,262.61,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,I,2023,4
351.93,191.38,8378.23,8186.85,351.93,0.00,ABX,ABX Air Inc,ABX Air Inc,A,2023,3
407.00,101.00,108492.00,108391.00,541.00,134.00,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,L,2023,3
449.20,588.39,7162.49,6574.10,449.20,0.00,X9,Omni Air International LLC,Omni Air International LLC,D,2023,2
467.94,195.76,10190.97,9995.20,467.94,0.00,ABX,ABX Air Inc,ABX Air Inc,A,2023,2
509.02,148.88,19311.36,19162.48,509.02,,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,Tatonduk Outfitters Limited d/b/a Everts Air Alask,D,2023,3
521.00,1013.56,17213.88,16200.32,521.00,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,D,2023,3
528.97,528.97,2515.58,1986.61,528.97,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",I,2023,3
539.48,517.48,1975.55,1458.07,539.48,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",D,2023,1
556.98,774.56,18080.86,17306.31,556.98,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",I,2023,4
609.40,126.41,18528.84,18402.44,609.40,,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,Tatonduk Outfitters Limited d/b/a Everts Air Alask,D,2023,1
636.33,881.91,31576.72,30694.81,636.33,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",D,2023,3
684.55,561.75,58353.57,57791.82,666.62,-17.93,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,D,2023,3
761.50,875.11,4227.39,3352.27,761.50,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,I,2023,1
774.70,781.63,20106.73,19325.10,774.70,0.00,WI,Sky Lease Cargo,Sky Lease Cargo,I,2023,3
794.78,794.78,2862.29,2067.50,794.78,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",I,2023,4
823.77,639.71,14205.48,13565.77,823.77,,PFQ,Asia Pacific,Asia Pacific,D,2023,3
828.77,828.77,1787.18,958.41,828.77,0.00,1TQ,Rhoades Aviation dba Transair,Rhoades Aviation dba Transair,D,2023,1
858.27,858.27,2932.49,2074.21,858.27,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",I,2023,2
914.78,942.35,9144.92,8202.57,914.78,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",I,2023,2
978.08,1460.78,9128.09,7667.31,1483.66,505.59,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,I,2023,1
980.00,962.95,61110.90,60147.95,980.00,0.00,G7,GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,D,2023,4
999.47,1111.98,5040.43,3928.45,999.47,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,I,2023,2
1036.94,1036.94,2877.77,1840.83,1036.94,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",I,2023,1
1066.33,1278.12,13874.79,12596.67,1066.33,,2PQ,21 Air LLC,21 Air LLC,S,2023,2
1071.40,23610.05,709062.31,685452.26,22454.54,21383.14,5Y,Atlas Air Inc.,Atlas Air Inc.,I,2023,3
1169.52,7518.88,106390.99,98872.11,6552.38,5382.86,8C,Air Transport International,Air Transport International,D,2023,4
1176.45,45886.57,2378011.19,2332124.62,1243.21,66.76,UA,United Air Lines Inc.,United Air Lines Inc.,A,2023,4
1252.68,-1326.10,162719.40,164045.50,-5241.49,-6494.17,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,P,2023,4
1306.84,1541.75,67025.81,65484.06,1314.48,7.64,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,D,2023,1
1351.77,1347.47,31832.36,30484.89,1351.77,0.00,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air","Scott Aviation, LLC  d/b/a  Silver Air",D,2023,3
1363.65,1896.33,44266.94,42370.61,1363.65,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",D,2023,4
1399.32,517.17,430816.76,430299.59,1843.22,443.90,MQ,Envoy Air,Envoy Air,D,2023,1
1449.88,2016.52,11017.28,9000.76,2043.39,593.51,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,D,2023,1
1486.53,1705.10,15001.41,13296.32,1486.53,,2PQ,21 Air LLC,21 Air LLC,S,2023,3
1499.03,2552.41,61143.97,58591.57,1499.03,0.00,ABX,ABX Air Inc,ABX Air Inc,D,2023,1
1685.24,1863.32,57076.95,55213.63,1685.24,0.00,G7,GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,D,2023,1
1697.86,1726.36,20739.72,19013.37,1697.86,0.00,WI,Sky Lease Cargo,Sky Lease Cargo,I,2023,1
1702.60,1763.32,5045.73,3282.40,1702.60,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",I,2023,1
1744.40,1716.85,63548.30,61831.45,1972.42,228.02,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,D,2023,2
1853.23,1761.09,7348.93,5587.84,1814.52,-38.71,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,I,2023,2
1864.24,2005.23,134671.76,132666.53,1864.24,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,National Air Cargo Group Inc d/ba National Airline,I,2023,2
1928.93,1949.26,27786.57,25837.31,1942.15,13.22,KAQ,Kalitta Air LLC,Kalitta Air LLC,D,2023,3
1962.76,12381.63,221778.63,209397.00,3977.07,2014.30,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,D,2023,4
2055.40,1966.87,7335.58,5368.71,2018.20,-37.19,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,D,2023,2
2159.82,2229.28,32766.81,30537.53,2159.82,0.00,8C,Air Transport International,Air Transport International,A,2023,2
2239.63,2307.13,22389.28,20082.15,2239.63,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",D,2023,2
2288.61,1244.53,54483.56,53239.03,2288.61,0.00,ABX,ABX Air Inc,ABX Air Inc,D,2023,3
2328.45,2716.24,186613.64,183897.40,3096.55,768.10,PT,Piedmont Airlines,Piedmont Airlines,D,2023,2
2586.56,2863.27,14426.02,11562.76,2529.98,-56.58,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",D,2023,2
2595.57,1085.87,56527.79,55441.91,2595.57,0.00,ABX,ABX Air Inc,ABX Air Inc,D,2023,2
2647.94,4618.03,421789.46,417171.43,3483.94,835.99,MQ,Envoy Air,Envoy Air,D,2023,2
2749.81,2767.28,89645.79,86878.51,3390.22,640.41,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,L,2023,2
2845.55,2922.60,28746.36,25823.76,2845.55,0.00,KAQ,Kalitta Air LLC,Kalitta Air LLC,D,2023,2
3026.16,2834.01,31220.68,28386.67,3026.16,0.00,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,D,2023,3
3189.01,3733.68,186668.48,182934.80,4199.71,1010.70,PT,Piedmont Airlines,Piedmont Airlines,D,2023,1
3212.92,3118.70,14665.65,11546.95,3337.92,125.00,PFQ,Asia Pacific,Asia Pacific,D,2023,4
3276.22,2817.29,21213.74,18396.45,3276.22,,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,Tatonduk Outfitters Limited d/b/a Everts Air Alask,D,2023,2
3387.65,3065.77,57665.53,54599.76,3397.38,9.73,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,D,2023,4
3598.32,23353.49,566322.33,542968.84,3817.48,219.16,B6,JetBlue Airways,JetBlue Airways,L,2023,4
3793.33,5729.30,12817.88,7088.59,5725.67,1932.35,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,I,2023,4
3947.00,16722.00,103589.00,86866.00,5229.00,1282.00,QX,Horizon Air,Horizon Air,D,2023,3
4100.23,4498.35,34065.35,29567.00,4437.75,337.51,8C,Air Transport International,Air Transport International,A,2023,4
4110.04,4153.81,63427.66,59273.85,4110.04,0.00,G7,GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,D,2023,3
4126.13,4743.03,23764.18,19021.15,4126.13,0.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,L,2023,4
4308.17,-6276.29,-1321.26,4955.03,4308.17,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",D,2023,4
4432.89,8177.13,79760.23,71583.10,4702.88,269.99,B6,JetBlue Airways,JetBlue Airways,A,2023,4
4458.30,5418.91,99611.32,94192.40,4458.30,0.00,8C,Air Transport International,Air Transport International,D,2023,2
4508.28,4458.47,11666.98,7208.51,4508.28,0.00,GFQ,Gulf And Caribbean Cargo,Gulf And Caribbean Cargo,I,2023,3
4562.00,7443.00,141165.00,133722.00,6137.00,1575.00,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,L,2023,2
4845.87,5018.69,14360.91,9342.22,4845.87,0.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",D,2023,1
4923.21,5939.08,32104.90,26165.81,4923.21,0.00,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,3
5025.72,5649.13,13276.81,7627.68,5025.72,0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC","Eastern Airlines f/k/a Dynamic Airways, LLC",D,2023,1
5064.40,5064.40,33810.59,28746.19,5064.40,0.00,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,2
5584.29,6417.50,31000.83,24583.34,5584.29,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,D,2023,1
5663.66,6301.24,28562.45,22261.21,5663.66,0.00,U7,USA Jet Airlines Inc.,USA Jet Airlines Inc.,D,2023,2
5898.00,3586.00,199261.00,195675.00,7238.00,1340.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,L,2023,3
5969.38,9445.51,170866.98,161421.47,5969.38,0.00,X9,Omni Air International LLC,Omni Air International LLC,I,2023,3
6182.54,6182.54,7906.96,1724.42,6182.54,0.00,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,I,2023,1
6350.70,6350.70,27906.04,21555.34,6350.70,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,2
6430.00,6506.51,33427.75,26921.24,6430.00,0.00,8C,Air Transport International,Air Transport International,A,2023,3
6452.14,6516.32,34891.40,28375.07,6452.14,0.00,8C,Air Transport International,Air Transport International,A,2023,1
6498.32,8334.74,47365.05,39030.31,6498.32,0.00,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,4
6625.26,6625.26,27035.24,20409.98,6625.26,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,3
6934.55,6926.53,37724.22,30797.69,6934.55,0.00,WI,Sky Lease Cargo,Sky Lease Cargo,I,2023,2
6959.24,6959.24,26008.57,19049.32,6959.24,0.00,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,1
6974.30,21032.15,608119.97,587087.82,7137.45,163.15,G4,Allegiant Air,Allegiant Air,D,2023,4
7034.12,7505.03,34867.06,27362.03,7034.12,0.00,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,1
7058.23,7097.77,33003.03,25905.26,7058.23,0.00,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,2
7301.01,7455.26,35032.25,27576.99,7301.01,0.00,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,1
7706.05,7706.05,9183.57,1477.52,7706.05,0.00,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,I,2023,2
7720.26,14480.61,449747.09,435266.48,13033.46,5313.20,MQ,Envoy Air,Envoy Air,D,2023,4
8933.39,21704.12,342602.82,320898.70,12056.98,3123.58,YX,Republic Airline,Republic Airline,D,2023,3
9203.25,9534.24,35306.77,25772.53,9203.25,0.00,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,3
9485.93,10428.61,38383.22,27954.61,9485.93,0.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,L,2023,2
